x1,y1,x2,y2,x3,y3
45.24,34.71,1.24,121.33,45.34,34.81
27.0,114.13,70.85,90.38,27.1,114.22999999999999
16.74,33.66,42.9,39.77,16.84,33.76
85.59,93.48,42.02,76.57,85.69,93.58
77.43,69.43,7.82,119.78,77.53,69.53
57.39,44.69,132.78,92.38,57.49,44.79
39.53,100.22,63.56,72.35,39.63,100.32
113.3,0.72,38.23,137.28,113.39999999999999,0.82
55.58,129.4,74.01,108.42,55.68,129.5
110.87,61.67,54.94,111.29,110.97,61.77
22.39,56.31,52.28,104.67,22.490000000000002,56.410000000000004
50.18,63.86,80.78,135.41,50.28,63.96
104.55,123.52,108.05,121.2,104.64999999999999,123.61999999999999
87.38,93.06,94.65,108.38,87.47999999999999,93.16
138.52,3.75,32.71,43.76,138.62,3.85
6.68,62.7,89.14,44.12,6.779999999999999,62.800000000000004
91.4,124.35,90.17,53.21,91.5,124.44999999999999
80.23,116.12,46.09,89.63,80.33,116.22
11.63,80.91,125.37,70.94,11.73,81.00999999999999
70.61,29.18,29.78,12.45,70.71,29.28
19.35,126.71,86.8,123.47,19.450000000000003,126.80999999999999
46.15,89.2,45.4,133.93,46.25,89.3
45.57,126.54,83.69,16.82,45.67,126.64
85.23,110.72,104.24,75.59,85.33,110.82
29.64,84.61,128.33,46.34,29.740000000000002,84.71
5.53,96.74,53.77,61.78,5.63,96.83999999999999
90.6,21.57,136.97,41.5,90.69999999999999,21.67
49.45,2.04,65.34,49.87,49.550000000000004,2.14
66.86,137.38,128.33,78.09,66.96,137.48
35.13,58.17,131.33,109.94,35.230000000000004,58.27
111.62,81.31,12.52,99.27,111.72,81.41
37.64,82.24,93.82,16.45,37.74,82.33999999999999
101.96,31.63,111.76,92.63,102.05999999999999,31.73
113.15,114.89,95.36,56.83,113.25,114.99
10.63,78.64,118.03,85.81,10.73,78.74
105.68,66.74,107.75,52.28,105.78,66.83999999999999
77.71,62.81,130.21,20.05,77.80999999999999,62.910000000000004
137.14,128.92,23.61,137.81,137.23999999999998,129.01999999999998
100.78,94.39,9.26,117.27,100.88,94.49
104.2,119.35,103.23,13.59,104.3,119.44999999999999
80.12,7.54,89.51,94.39,80.22,7.64
11.77,136.0,98.14,55.35,11.87,136.1
134.72,27.17,8.3,118.81,134.82,27.270000000000003
32.6,90.01,108.03,17.17,32.7,90.11
56.85,45.19,116.06,25.29,56.95,45.29
82.99,34.26,79.99,34.44,83.08999999999999,34.36
79.73,15.89,38.91,136.54,79.83,15.99
138.91,117.96,31.2,75.84,139.01,118.05999999999999
67.3,49.88,85.29,58.71,67.39999999999999,49.980000000000004
46.31,16.49,138.61,53.85,46.410000000000004,16.59
77.12,124.77,54.97,8.88,77.22,124.86999999999999
47.98,113.17,107.14,5.83,48.08,113.27
76.29,3.0,93.45,71.44,76.39,3.1
71.38,110.15,75.46,35.85,71.47999999999999,110.25
134.32,40.03,46.62,105.87,134.42,40.13
47.18,98.6,45.29,2.78,47.28,98.69999999999999
120.93,79.41,124.36,71.34,121.03,79.50999999999999
131.29,36.93,114.43,0.47,131.39,37.03
33.95,6.86,130.72,82.03,34.050000000000004,6.96
137.71,105.63,33.92,31.64,137.81,105.72999999999999
111.63,24.24,55.62,5.21,111.72999999999999,24.34
37.84,116.54,84.67,96.72,37.940000000000005,116.64
6.48,24.54,121.48,128.04,6.58,24.64
90.45,3.03,131.18,51.29,90.55,3.13
84.44,76.92,86.36,104.79,84.53999999999999,77.02
65.61,84.14,115.4,109.62,65.71,84.24
99.02,88.35,134.14,35.79,99.11999999999999,88.44999999999999
103.56,64.0,58.81,82.7,103.66,64.1
65.36,112.86,139.43,92.18,65.46,112.96
30.72,34.01,56.65,90.87,30.82,34.11
37.46,119.45,22.83,137.35,82.68,105.05
91.68,2.15,72.69,110.49,105.57,21.56
41.55,105.33,8.72,73.65,135.98,47.11
74.48,93.4,75.97,3.87,75.82,116.31
61.18,15.09,88.25,29.48,101.41,79.4
73.61,98.32,80.59,37.61,134.48,112.31
24.29,48.58,30.09,63.59,91.25,123.03
117.57,116.86,115.72,96.16,81.32,15.04
84.26,29.74,13.11,94.18,38.22,32.74
113.41,65.13,114.57,16.74,111.75,116.71
7.38,87.84,89.37,5.41,104.01,89.07
61.84,132.17,8.84,94.63,94.66,57.2
14.78,63.1,94.44,5.04,12.7,11.18
138.16,93.02,79.64,56.06,122.7,74.23
135.46,50.6,67.55,43.13,109.69,57.0
38.93,46.9,108.23,121.3,59.85,28.69
71.85,65.19,8.25,126.21,115.7,37.84
15.07,34.95,96.92,63.55,104.5,0.36
26.7,24.52,85.42,134.96,103.1,37.23
97.9,40.87,85.51,100.88,63.4,100.44
74.37,46.33,43.83,77.2,102.6,38.69
119.04,93.55,97.53,74.34,65.41,112.86
45.98,128.72,126.06,5.58,108.25,85.84
76.08,90.09,133.46,96.32,25.83,16.01
31.53,121.42,78.43,34.37,7.42,17.45
73.36,126.8,1.46,8.31,4.76,14.86
110.71,42.48,41.12,106.28,68.19,102.19
1.03,75.19,78.87,17.66,110.41,76.2
29.52,107.37,61.58,27.02,105.39,35.63
25.27,23.57,10.24,41.85,55.91,1.31
135.86,0.0,109.28,73.62,40.45,93.32
18.45,134.75,15.67,26.71,119.92,68.31
25.78,131.11,0.37,70.98,124.0,132.76
126.11,112.7,1.16,113.65,11.44,107.23
85.03,128.35,87.01,114.16,18.68,65.11
66.45,80.43,122.46,78.61,137.19,110.5
26.78,45.07,137.21,133.17,100.96,118.28
136.28,67.2,15.9,60.8,100.48,43.41
123.47,90.44,125.43,114.13,51.62,41.15
126.32,81.7,56.24,136.61,109.78,29.91
12.75,5.33,82.53,14.95,50.44,66.73
22.11,88.23,9.72,39.02,19.24,24.29
69.09,91.41,101.9,81.52,103.54,18.17
20.1,19.52,73.73,0.74,31.75,18.85
72.97,13.25,84.7,17.83,34.77,52.72
10.55,20.89,112.58,36.78,26.41,29.31
40.17,124.37,79.72,55.52,115.05,98.29
102.14,137.03,56.67,92.09,85.63,82.78
3.71,54.2,35.14,101.3,68.23,26.66
87.85,83.33,35.42,121.62,65.56,133.47
123.56,53.07,84.04,68.45,138.06,127.65
47.84,50.16,111.55,20.64,23.73,135.73
81.78,30.64,29.9,18.28,61.78,45.04
37.32,16.74,72.06,122.17,27.68,53.81
59.09,137.09,95.99,102.78,6.33,135.51
28.83,54.94,119.91,120.84,132.6,52.01
30.34,49.3,99.3,133.23,37.69,38.89
83.16,56.49,24.62,1.55,112.54,74.76
124.78,56.84,128.75,75.46,19.26,108.23
96.66,70.95,70.95,78.58,111.86,71.5
84.66,59.82,115.69,93.47,14.73,58.26
5.43,109.25,109.51,66.47,26.01,22.15
107.38,132.5,137.03,69.38,94.05,13.25
58.79,117.27,71.76,41.97,55.47,9.07
106.69,31.53,43.35,56.79,90.99,84.15
92.39,135.24,73.69,102.31,20.03,14.68
87.12,55.91,44.0,57.16,53.61,89.71
41.63,130.06,16.36,1.28,8.28,96.51
108.23,67.59,3.31,46.59,54.89,35.53
128.49,115.88,20.4,119.29,48.41,95.03
