x1,y1,x2,y2,x3,y3
37.44,37.12,7.74,8.41,37.54,37.22
10.65,16.55,8.09,4.12,10.75,16.650000000000002
14.47,13.8,16.48,27.68,14.57,13.9
38.18,13.61,14.32,2.14,38.28,13.709999999999999
20.3,26.44,2.33,32.91,20.400000000000002,26.540000000000003
1.98,1.62,18.56,37.52,2.08,1.7200000000000002
19.25,34.55,13.86,18.38,19.35,34.65
28.08,39.16,8.02,12.7,28.18,39.26
1.61,15.79,26.42,30.98,1.7100000000000002,15.889999999999999
34.53,24.03,29.75,10.66,34.63,24.130000000000003
19.9,15.43,30.76,34.75,20.0,15.53
33.9,9.47,22.79,1.95,34.0,9.57
13.43,17.74,5.74,29.58,13.53,17.84
1.56,37.06,13.35,32.48,1.6600000000000001,37.160000000000004
31.86,25.5,13.55,1.37,31.96,25.6
25.67,25.11,19.57,0.79,25.770000000000003,25.21
37.03,1.29,31.28,35.08,37.13,1.3900000000000001
6.85,11.03,28.7,16.28,6.949999999999999,11.129999999999999
33.54,31.5,26.51,18.06,33.64,31.6
10.67,37.29,1.73,14.71,10.77,37.39
36.89,23.92,7.67,27.18,31.11,12.6
33.89,16.3,7.56,35.51,35.89,37.7
21.82,28.37,4.61,7.6,11.3,32.04
0.17,20.05,10.71,32.8,33.05,11.72
27.32,19.57,32.03,35.09,4.74,23.54
13.34,6.79,6.75,30.68,21.76,33.07
30.97,6.03,32.43,11.29,18.37,31.05
34.61,30.99,7.64,20.72,2.4,39.46
0.75,16.71,17.01,5.04,38.86,39.08
36.72,15.33,36.62,4.25,30.96,33.46
34.13,29.6,23.28,16.8,23.19,0.93
11.66,22.76,7.77,12.46,14.37,20.81
35.32,16.39,31.34,9.22,23.62,24.41
34.85,14.92,16.09,28.51,31.77,28.35
25.15,10.87,26.19,22.34,21.11,18.9
36.65,2.07,15.51,14.07,4.24,36.65
16.46,33.62,31.7,28.85,8.84,3.0
29.16,30.83,8.9,26.0,0.24,1.89
8.24,18.67,5.31,31.93,5.41,8.02
29.17,9.01,38.75,22.76,27.19,37.21
