x1,y1,x2,y2,x3,y3
5.58,10.97,12.93,9.98,5.68,11.07
5.72,11.21,14.79,5.33,5.819999999999999,11.31
18.42,1.68,6.75,1.73,18.520000000000003,1.78
16.31,7.37,4.78,14.48,16.41,7.47
0.85,4.37,13.39,15.29,0.95,4.47
6.57,3.85,9.08,16.08,6.67,3.95
3.09,5.9,11.11,1.52,3.19,6.0
13.03,5.34,14.54,17.48,13.129999999999999,5.4399999999999995
15.67,19.78,4.16,13.71,15.77,19.880000000000003
6.55,6.64,17.39,15.88,6.6499999999999995,6.739999999999999
19.96,1.29,4.41,10.92,2.21,3.13
14.14,5.97,9.72,19.17,16.83,17.82
9.25,19.75,1.22,17.58,4.62,1.4
6.28,19.57,9.46,4.0,3.22,19.96
10.39,6.72,11.73,5.15,3.55,10.28
19.81,13.48,12.24,5.18,2.44,9.89
11.15,16.43,4.0,18.26,0.42,14.04
4.3,1.82,17.27,17.85,18.22,11.92
19.88,12.96,16.01,5.59,0.92,5.06
9.79,10.91,10.57,9.38,0.13,14.24
