x1,y1,x2,y2,x3,y3
43.75,4.79,42.81,57.41,43.85,4.89
57.22,19.27,57.33,39.87,57.32,19.37
26.84,26.07,5.03,8.1,26.94,26.17
29.95,59.0,23.66,40.97,30.05,59.1
9.69,4.39,44.91,3.19,9.79,4.489999999999999
15.89,21.93,1.27,58.62,15.99,22.03
15.86,0.35,48.89,3.59,15.959999999999999,0.44999999999999996
29.66,12.03,13.67,55.07,29.76,12.129999999999999
6.87,28.53,29.17,12.25,6.97,28.630000000000003
12.77,50.39,41.7,33.25,12.87,50.49
14.95,4.3,45.35,57.98,15.049999999999999,4.3999999999999995
39.41,33.01,35.63,7.16,39.51,33.11
49.67,8.75,6.59,48.22,49.77,8.85
27.15,39.79,29.6,19.87,27.25,39.89
22.08,14.13,59.82,26.4,22.18,14.23
19.24,42.13,31.5,3.39,19.34,42.230000000000004
45.31,21.84,42.76,50.85,45.410000000000004,21.94
16.81,11.37,42.47,1.99,16.91,11.469999999999999
31.33,47.95,13.24,1.66,31.43,48.050000000000004
40.69,16.44,54.84,49.94,40.79,16.540000000000003
23.75,21.82,34.98,15.16,23.85,21.92
37.01,32.12,5.42,0.27,37.11,32.22
53.9,46.48,39.05,30.28,54.0,46.58
43.07,48.43,15.03,21.25,43.17,48.53
19.3,1.72,54.58,18.37,19.400000000000002,1.82
14.25,13.31,34.27,48.81,14.35,13.41
56.44,44.63,13.88,0.72,56.54,44.730000000000004
34.03,19.78,36.77,1.13,34.13,19.880000000000003
3.54,33.53,20.6,16.14,3.64,33.63
33.03,0.68,43.4,1.04,33.13,0.78
56.38,27.84,17.66,5.69,23.11,46.84
36.1,29.43,44.63,13.87,14.05,31.6
10.11,15.59,20.18,5.74,1.91,23.4
41.27,32.25,10.35,13.98,47.63,51.06
8.02,1.78,17.48,32.98,2.63,10.47
3.51,38.9,32.32,28.7,59.09,17.52
24.63,16.88,1.54,58.65,12.34,37.69
59.37,47.1,33.18,23.48,15.02,8.22
18.49,25.17,45.25,17.54,42.14,58.23
40.22,24.85,59.1,41.7,28.53,26.66
12.53,8.9,59.85,39.18,5.85,55.35
25.44,23.92,48.11,19.86,32.39,10.66
18.78,9.51,3.36,12.08,55.03,50.22
14.79,25.19,28.54,57.68,21.55,34.09
14.17,3.37,36.03,29.63,1.52,35.11
37.1,4.96,39.26,58.36,6.73,7.67
43.05,35.53,3.67,42.06,31.32,14.56
12.05,53.07,7.37,49.13,58.32,39.05
5.2,58.07,13.14,23.7,5.56,45.09
3.12,47.91,16.31,41.41,10.14,29.73
2.35,23.34,40.16,7.9,32.0,20.66
4.0,27.83,9.74,13.52,5.87,49.15
53.25,28.78,52.65,51.72,31.46,40.72
18.24,35.66,57.0,49.53,41.31,43.38
30.59,59.29,55.13,50.96,21.29,13.6
39.11,49.64,36.37,21.84,9.27,16.14
20.42,24.43,29.65,21.28,19.3,47.19
9.96,52.0,15.92,56.66,43.48,20.77
19.58,33.62,44.33,46.0,31.84,39.64
39.36,10.64,47.19,26.89,30.95,15.43
